2,3,mask2
4,mask4
ir_yk_de_a2,ir_yk_wa_a1,iri_def2!,iri_majime!,iri_majime2!,iri_warai!
kasa1,kasa2,kasa3
kei_def1,kei_ikari1,kei_ikari2,kei_komaru,kei_nayamu
kei_def1#,kei_ikari1#,kei_majime2#,kei_ikari2#
kei_def2,kei_majime,kei_majime2
kei_def2#,kei_majime#
kei_komaru#,kei_nayamu#
left,maskleft
m1,maskm1
mask_1900,mask1900
me_akuwaraia2$,me_winka2$
me_defa2$,me_tohohoa2$
me_eyex1,me_eyex2
me_hutekia1$,me_tohohoa1$
me_mi_aw_a2,me_mi_fu_a2
me_se_aw_a1,me_se_ma_a1,me_se_th_a1,me_se_wi_a1,me_se_si_a1,me_majimea1,me_winka1,me_akuwaraia1,me_sinmyoua1,me_tohohoa1
me_se_aw_a2,me_se_de_a2,me_se_th_a2,me_se_wi_a2,me_se_fu_a2,me_akuwaraia2,me_defa2,me_tohohoa2,me_winka2
me_se_aw_b1,me_akuwaraib1
me_se_aw_b2,me_se_bi_b2,me_se_fu_b2,me_se_th_b2,me_se_wi_b2,me_winkb2,me_akuwaraib2,me_odorokib2,me_tohohob2
me_se_bi_a1,me_se_de_a1,me_se_fu_a1,me_defa1,me_hutekia1,me_odorokia1
me_se_bi_a2,me_odorokia2
me_se_bi_b1,me_se_de_b1,me_se_fu_b1,me_se_ma_b1,me_se_yw_b1,me_yowakib1,me_defb1,me_majimeb1,me_odorokib1
me_se_de_b2,me_defb2
me_se_him_a1,me_se_to_a1,me_tokuia1
me_se_ik_a1,me_ikaria1
me_se_ik_b2,me_ikarib2
me_se_ma_a2,me_majimea2
me_se_ma_b2,me_majimeb2
me_se_si_b2,me_sinmyoub2
me_se_th_b1,me_tohohob1
me_se_to_a2,me_tokuia2
me_se_to_b1,me_se_ik_b1,me_tokuib1,me_ikarib1
me_se_to_b2,me_tokuib2
me_se_wa_a1,me_waraia1
me_se_wa_a2,me_waraia2
me_se_wa_b1,me_waraib1
me_se_wi_b1,me_winkb1
me_se_yw_a1,me_se_ha_a1,me_haua1,me_yowakia1
me_se_yw_a2,me_se_ik_a2,me_se_si_a2,me_yowakia2,me_ikaria2,me_sinmyoua2
me_se_yw_b2,me_se_wa_b2,me_waraib2,me_yowakib2
me_si_aw_a1,me_si_de_a1,me_si_fu_a1,me_si_ik_a1,me_si_ma_a1,me_si_to_a1,me_si_bi_a1,me_si_ha_a1,me_si_yw_a1,me_akuwaraia1#,me_defa1#,me_haua1#,me_majimea1#,me_odorokia1#,me_tokuia1#,me_yowakia1#,me_hutekia1#
me_si_aw_a2,me_si_th_a2,me_si_wi_a2,me_si_bi_a2,me_si_de_a2,me_si_si_a2,me_si_yw_a2,me_defa2#,me_odorokia2#,me_sinmyoua2#,me_tohohoa2#,me_winka2#,me_yowakia2#,me_akuwaraia2#
me_si_fu_a2,me_si_ik_a2,me_si_ma_a2,me_majimea2#
me_si_him_a1,me_hi_majia1#
me_si_him_a2,me_hi_majia2#
me_si_th_a1,me_tohohoa1#
me_si_to_a2,me_si_wa_a2,me_waraia2#,me_tokuia2#
me_si_wa_a1,me_si_si_a1,me_sinmyoua1#,me_waraia1#
me_si_wi_a1,me_winka1#
me_ta_aw_a1,me_akuwaraia1&
me_ta_aw_a2,me_ta_fu_a2,me_akuwaraia2&,me_ikaria2&
me_ta_de_a1,me_ta_th_a1,me_ta_fu_a1,me_defa1&,me_hutekia1&,me_tohohoa1&
me_ta_de_a2,me_majimea2&,me_tohohoa2&
me_ta_to_a1,me_tokuia1&
me_ta_to_a2,me_ta_wa_a2,me_tokuia2&,me_waraia2&
me_ta_wi_a1,me_odorokia1&,me_winka1&
me_ta_wi_a2,me_winka2&
mea_t2,mea_t2_j
nort,nort_mono1,nort_mono2,nort_mono3,nort_mono4,nort_mono5,nort_mono6
oi_si_de_a1,oi_si_wa_a1,oi_si_aw_a1,oisi1,oisi2,oisi5
oi_si_ma_a1,oi_si_de_a2,oisi4,oisi3
oi_yk_de_a2,oi_yk_ma_a1
oni_re_01,oni_re_02
oni_re_04,oni_re_05,oni_re_06
onik001_j,57a,58a
onik005,onik013
onik010_j,onik014_02_j
re_se_bi_a1,re_bikkuria1
re_se_bi_b1,re_bikkurib1
re_se_de_a1,re_defa1
re_se_de_b1,re_defb1
re_se_ha_a1,re_haua1
re_se_ha_b1,re_se_hi_b1,re_hi_defb1,re_haub1
re_se_hi_a1,re_se_na_a1,re_se_ik_a1,re_hi_defa1,re_nandea1,re_okorua1
re_se_hii_a1,re_hi_okorua1
re_se_him_a1,re_hi_muhyoua1
re_se_ka_a1,re_kaiia1
re_se_ka_b1,re_kaiib1
re_se_ko_a1,re_komarua1
re_se_ko_a2,re_komarua2
re_se_ko_b1,re_komarub1
re_se_ko_b2,re_se_na_b1,re_nandeb1
re_se_wa_a1,re_waraia1
re_se_wa_b1,re_se_ik_b1,re_se_hii_b1,re_okorub1,re_waraib1
re_si_bi_a1,re_si_ha_a1,re_bikkuria1#,re_haua1#
re_si_bi_b1,re_si_ko_b1,re_bikkurib1#,re_komarub1#
re_si_de_a1,re_defa1#
re_si_de_b1,re_defb1#
re_si_ha_b1,re_haub1#
re_si_hi_b1,re_si_ko_b2,re_hi_defb1#
re_si_hii_b1,re_si_him_b1,re_si_ik_b1,re_hi_muhyoub1#,re_hi_okorub1#,re_okorub1#
re_si_him_a1,re_si_hi_a1,re_hi_defa1#,re_hi_muhyoua1#,re_hi_okorua1#
re_si_ka_a1,re_kaiia1#
re_si_ka_b1,re_kaiib1#
re_si_ko_a1,re_komarua1#
re_si_ko_a2,re_si_na_a1,re_nandea1#
re_si_na_b1,re_nandeb1#
re_si_wa_a1,re_waraia1#
re_si_wa_b1,re_waraib1#
re_ta_bi_b1,re_ta_ha_b1,re_bikkurib1&,re_defb1&,re_komarub1&,re_nandeb1&
re_ta_de_a1,re_ta_ko_a2,re_defa1&
re_ta_ha_a1,re_ta_na_a1,re_haua1&
re_ta_ka_a1,re_kaiia1&
re_ta_ka_b1,re_kaiib1&
re_ta_ko_a1,re_komarua1&
re_ta_wa_a1,re_waraia1&
re_ta_wa_b1,re_waraib1&
ri_defa1$,ri_nikoa1$
ri_mk_de_a1,ri_mk_ko_a1,ri_mk_ni_a1,ri_defa1%,ri_komarua1%,ri_nikoa1%
ri_mk_wa_a1,ri_waraia1%
ri_se_de_a1,ri_se_ko_a1,ri_se_ni_a1,ri_se_fu_a1,ri_defa1,ri_komarua1,ri_nikoa1,ri_fumana1,ri_komarua2,ri_majimea1,ri_niyaria1
ri_se_wa_a1,ri_waraia1
ri_si_de_a1,ri_si_ko_a1,ri_si_ni_a1,ri_si_fu_a1,ri_si_ko_a2,ri_si_ny_a1,ri_defa1#,ri_komarua1#,ri_niyaria1#,ri_nikoa1#,ri_fumana1#,ri_komarua2#,ri_majimea1#
ri_si_wa_a1,ri_waraia1#
ri_ta_de_a1,ri_ta_ni_a1,ri_defa1&,ri_nikoa1&
ri_ta_ko_a1,ri_komarua1&
ri_ta_wa_a1,ri_waraia1&
right,maskright
s53,s60
sa_akirerua1-,sa_akuwaraia1-,sa_odorokia1-,sa_waraia1-,sa_yareyarea1-
sa_se_ak_a1,sa_se_aw_a1,sa_se_hn_a1,sa_se_ha_a1,sa_se_ha_a2,sa_akirerua1,sa_hannbesoa1,sa_akuwaraia1,sa_haua1,sa_haua2
sa_se_aw_b1,sa_se_de_b1,sa_akuwaraib1,sa_defb1
sa_se_bi_a1,sa_odorokia1
sa_se_bi_b1,sa_se_hn_b1,sa_se_ak_a2,sa_akirerub1,sa_hannbesob1,sa_odorokib1
sa_se_de_a1,sa_defa1
sa_se_ha_b1,sa_haub1
sa_se_hn_a3,sa_se_sa_a1,sa_hannbesoa3,sa_sakebua1
sa_se_hn_b2,sa_se_ha_b2
sa_se_hn_b3,sa_hannbesob3
sa_se_mu_a1,sa_muhyoua1
sa_se_mu_a2,sa_muhyoua2
sa_se_na_a1,sa_se_wa_a1,sa_nakua1,sa_waraia1
sa_se_na_b1,sa_nakub1
sa_se_sa_b1,sa_muhyoub1,sa_sakebub1,sa_muhyoub2
sa_se_wa_b1,sa_waraib1
sa_se_ya_a1,sa_yareyarea1
sa_se_ya_a2,sa_yareyarea2
sa_se_yah_b1,sa_yareyareb1
sa_se_yah_b2,sa_yareyareb2
sa_si_ak_a1,sa_si_aw_a1,sa_si_de_a1,sa_akirerua1#,sa_muhyoua2#,sa_defa1#,sa_akuwaraia1#
sa_si_ak_a2,sa_si_aw_b1,sa_si_bi_b1,sa_si_hn_b1,sa_odorokib1#,sa_akuwaraib1#,sa_akirerub1#,sa_hannbesob1#
sa_si_bi_a1,sa_si_ha_a1,sa_odorokia1#,sa_haua1#
sa_si_ha_a2,sa_hannbesoa3#
sa_si_ha_b1,sa_haub1#
sa_si_hn_a1,sa_hannbesoa1#
sa_si_wa_a1,sa_waraia1#
sa_si_wa_b1,sa_waraib1#
sa_si_ya_a1,sa_yareyarea1#
sa_ta_ak_a1,sa_ta_de_a1,sa_akirerua1&,sa_defa1&
sa_ta_aw_a1,sa_akuwaraia1&
sa_ta_bi_a1,sa_ta_hn_a1,sa_hannbesoa1&,sa_odorokia1&
sa_ta_wa_a1,sa_waraia1&
sa_to_ak_a1,sa_to_hn_a1
sa_to_bi_a1,sa_to_mu_a2,sa_to_sa_a1
sa_to_ha_a1,sa_to_ya_a1,sa_to_ya_a2
sato_def1,sato_def2,sato_ikari,sato_komaru,sato_komaru2,sato_tukare,sato_warai
sato_def1!,sato_komaru2!,sato_warai!
scenario_a,bg_036,heya3
scenario_b,scenario_b_j,scenario_c
si_akuwaraia1,si_hutekia1,si_odorokia1
si_ma_aw_a1,si_ma_ma_a1,si_ma_wi_a1,si_akuwaraia1$,si_winka1$
si_ma_de_a1,si_defa1$
si_ma_ha_a1,si_ma_yw_a1
si_ma_to_a1,si_ma_wa_a1,si_waraia1$
si_si_aw_a1,si_si_bi_a1,si_si_de_a1,si_si_fu_a1,si_si_ik_a1,si_si_ma_a1,si_si_wi_a1,si_akuwaraia1#,si_defa1#,si_odorokia1#,si_winka1#,si_majimea1#
si_si_aw_b1,si_akuwaraib1#
si_si_bi_b1,si_si_ha_b1,si_odorokib1#
si_si_de_b1,si_si_ma_b1,si_defb1#,si_majimeb1#
si_si_fu_b1,si_si_to_b1,si_tokuib1#
si_si_ha_a1,si_si_yw_a1,si_tohohoa1#,si_yowakia1#
si_si_th_b1,si_tohohob1#
si_si_wa_a1,si_si_to_a1,si_waraia1#,si_tokuia1#
si_si_wa_b1,si_waraib1#
si_si_wi_b1,si_winkb1#
si_tokuia1,si_waraia1
sora6,tumi_t2
t_ep0,are2
t_ep9,t_ep9_j
ta_akuwarai,ta_def
ta_akuwarai#,ta_def#
ta_akuwarai+,ta_def+,ta_warai+
ta_si_aw_a1,ta_si_de_a1
tata009_jp,tata012_jp
tetu1,tetu2,tetu3
ti_si_de_a1,tie1
ti_si_ik_a1,tie2
ti_si_ko_a1,tie3
title_j,title02_j
tm_si_de_a1,tomi_def#
tm_si_ko_a1,tomi_komaru#
tm_si_wa_a1,tomi_warai#
tomi_def,tomi_komaru
up,maskup
white,red,mask1014,mask00,white_mono1,waku_w,white_mono1_6
x,maskx
