001a,external\ps3\ep1\scene\001a.png
are4,external\ps3\ep5\text\are4.png
are4_j,external\ps3\ep5\text\are4_j.png
are4_nega1,external\ps3\ep5\text\are4_nega1.png
are4_nega1_j,external\ps3\ep5\text\are4_nega1_j.png
background,external\ps3\ep1\scenario\background.png
bad_end,external\ps3\ep5\bad_end.png
bad_end_j,external\ps3\ep5\bad_end_j.png
basu_soukou,external\ps3\ep8\background\basu_soukou.png
bg_089_mo,external\ps3\ep4\bg_089_mo.png
bg_143_mo1,external\ps3\ep4\rain\bg_143_mo1.png
bg_143_mo2,external\ps3\ep4\rain\bg_143_mo2.png
bg_143_re1,external\ps3\ep4\rain\bg_143_re1.png
bg_143_re2,external\ps3\ep4\rain\bg_143_re2.png
bg_143_re3,external\ps3\ep4\rain\bg_143_re3.png
bg_161,external\ps3\ep1\bg_161.png
bg_226,external\ps3\ep2\bg_226.png
bg_235,external\ps3\ep3\bg_235.png
bg_246b,external\ps3\ep2\bg_246b.png
black,external\ps3\ep1\black.png
byo_01,external\ps3\ep2\background\byo_01.png
byo_02,external\ps3\ep5\background\byo_02.png
byo_ten,external\ps3\ep8\background\byo_ten.png
c,external\ps3\ep1\c.png
centerblind,external\ps3\ep1\centerblind.png
chibimion_def_0,external\ps3\ep4\sprite\chibimion_def_0.png
chibimion_def_1,external\ps3\ep4\sprite\chibimion_def_1.png
chibimion_def_2,external\ps3\ep4\sprite\chibimion_def_2.png
chibimion_shinken_0,external\ps3\ep4\sprite\chibimion_shinken_0.png
chibimion_shinken_1,external\ps3\ep4\sprite\chibimion_shinken_1.png
chibimion_shinken_2,external\ps3\ep4\sprite\chibimion_shinken_2.png
chibimion_warai_0,external\ps3\ep4\portrait\chibimion_warai_0.png
chibimion_warai_1,external\ps3\ep4\portrait\chibimion_warai_1.png
chibimion_warai_2,external\ps3\ep4\portrait\chibimion_warai_2.png
chibimion_wink_0,external\ps3\ep4\sprite\chibimion_wink_0.png
chibimion_wink_1,external\ps3\ep4\sprite\chibimion_wink_1.png
chibimion_wink_2,external\ps3\ep4\sprite\chibimion_wink_2.png
chika_rouka,external\ps3\ep8\background\chika_rouka.png
chika_sekyurithi,external\ps3\ep8\background\chika_sekyurithi.png
chika_shisetsu,external\ps3\ep8\background\chika_shisetsu.png
cinema,external\ps3\ep1\cinema.png
cutin1,external\ps3\ep6\scene\cutin1.png
cutin2,external\ps3\ep6\scene\cutin2.png
cutin3,external\ps3\ep6\scene\cutin3.png
cutin4,external\ps3\ep6\scene\cutin4.png
cutin5,external\ps3\ep6\scene\cutin5.png
cutin6,external\ps3\ep6\scene\cutin6.png
damu2,external\ps3\ep1\background\damu2.png
damu4,external\ps3\ep1\background\damu4.png
damu4_01,external\ps3\ep1\background\damu4_01.png
denwa,external\ps3\ep1\background\denwa.png
description,external\ps3\ep1\scenario\description.png
description_j,external\ps3\ep1\scenario\description_j.png
down,external\ps3\ep1\down.png
drum,external\ps3\ep8\scene\drum.png
drum_b,external\ps3\ep8\scene\drum_b.png
e1,external\ps3\ep2\e1.png
eki,external\ps3\ep1\background\eki.png
end,external\ps3\ep3\end.png
end_1,external\ps3\ep1\end_1.png
end_1_j,external\ps3\ep1\end_1_j.png
end_2,external\ps3\ep1\end_2.png
end_2_j,external\ps3\ep1\end_2_j.png
end_3,external\ps3\ep1\end_3.png
end_3_j,external\ps3\ep1\end_3_j.png
ex_jump,external\ps3\ep1\ex_jump.png
ex_otsu,external\ps3\ep1\ex_otsu.png
ex_otsu_hima,external\ps3\ep4\ex_otsu_hima.png
ex_otsu_tata,external\ps3\ep3\ex_otsu_tata.png
ex_otsu_wata,external\ps3\ep2\ex_otsu_wata.png
ex_tips,external\ps3\ep1\ex_tips.png
eye,external\ps3\ep1\scene\eye.png
eye_ama1,external\ps3\ep8\eye\eye_ama1.png
eye_ama2,external\ps3\ep8\eye\eye_ama2.png
eye_ama3,external\ps3\ep8\eye\eye_ama3.png
eye_base_b,external\ps3\ep6\eye\eye_base_b.png
eye_base_r,external\ps3\ep6\eye\eye_base_r.png
eye_kei,external\ps3\ep6\eye\eye_kei.png
eye_me,external\ps3\ep6\eye\eye_me.png
eye_me3,external\ps3\ep6\eye\eye_me3.png
eye_ois,external\ps3\ep7\eye\eye_ois.png
eye_oko,external\ps3\ep8\eye\eye_oko.png
eye_re,external\ps3\ep6\eye\eye_re.png
eye_sa,external\ps3\ep6\eye\eye_sa.png
fight1,external\ps3\ep6\fight\fight1.png
fight2,external\ps3\ep6\fight\fight2.png
fight3,external\ps3\ep6\fight\fight3.png
fight4,external\ps3\ep6\fight\fight4.png
fight5,external\ps3\ep6\fight\fight5.png
fight6,external\ps3\ep6\fight\fight6.png
file,external\ps3\ep4\background\file.png
filter_hanyu,external\ps3\ep8\filter_hanyu.png
fure1,external\ps3\ep7\background\fure1.png
fure2,external\ps3\ep7\background\fure2.png
furiker_a,external\ps3\ep1\background\furiker_a.png
furiker_b,external\ps3\ep1\background\furiker_b.png
furiker_c,external\ps3\ep3\background\furiker_c.png
g1,external\ps3\ep1\background\g1.png
g1_01,external\ps3\ep3\background\g1_01.png
g1_01_menu,external\ps3\ep6\g1_01_menu.png
g2,external\ps3\ep1\background\g2.png
g2_01,external\ps3\ep3\background\g2_01.png
g3,external\ps3\ep1\background\g3.png
g3_01,external\ps3\ep3\background\g3_01.png
ga1,external\ps3\ep5\background\ga1.png
getkakera,external\ps3\ep8\tips\getkakera.png
getkakera_j,external\ps3\ep8\tips\getkakera_j.png
gettip_mats025,external\ps3\ep8\tips\gettip_mats025.png
gettip_mats025_j,external\ps3\ep8\tips\gettip_mats025_j.png
gettip_meak001,external\ps3\ep5\tips\gettip_meak001.png
gettip_meak001_j,external\ps3\ep5\tips\gettip_meak001_j.png
gettip_meak003,external\ps3\ep5\tips\gettip_meak003.png
gettip_meak003_j,external\ps3\ep5\tips\gettip_meak003_j.png
gettip_meak005,external\ps3\ep5\tips\gettip_meak005.png
gettip_meak005_j,external\ps3\ep5\tips\gettip_meak005_j.png
gettip_meak007,external\ps3\ep5\tips\gettip_meak007.png
gettip_meak007_j,external\ps3\ep5\tips\gettip_meak007_j.png
gettip_meak009,external\ps3\ep5\tips\gettip_meak009.png
gettip_meak009_j,external\ps3\ep5\tips\gettip_meak009_j.png
gettip_meak011,external\ps3\ep5\tips\gettip_meak011.png
gettip_meak011_j,external\ps3\ep5\tips\gettip_meak011_j.png
gettip_meak013,external\ps3\ep5\tips\gettip_meak013.png
gettip_meak013_j,external\ps3\ep5\tips\gettip_meak013_j.png
gettip_meak014,external\ps3\ep5\tips\gettip_meak014.png
gettip_meak014_j,external\ps3\ep5\tips\gettip_meak014_j.png
gettip_meak015,external\ps3\ep5\tips\gettip_meak015.png
gettip_meak015_j,external\ps3\ep5\tips\gettip_meak015_j.png
gettip_meak016,external\ps3\ep5\tips\gettip_meak016.png
gettip_meak016_j,external\ps3\ep5\tips\gettip_meak016_j.png
gettip_meak018,external\ps3\ep5\tips\gettip_meak018.png
gettip_meak018_j,external\ps3\ep5\tips\gettip_meak018_j.png
gettip_meak020,external\ps3\ep5\tips\gettip_meak020.png
gettip_meak020_j,external\ps3\ep5\tips\gettip_meak020_j.png
gettip_meak022,external\ps3\ep5\tips\gettip_meak022.png
gettip_meak022_j,external\ps3\ep5\tips\gettip_meak022_j.png
gettip_meak024,external\ps3\ep5\tips\gettip_meak024.png
gettip_meak024_j,external\ps3\ep5\tips\gettip_meak024_j.png
gettip_meakep03,external\ps3\ep5\tips\gettip_meakep03.png
gettip_meakep03_j,external\ps3\ep5\tips\gettip_meakep03_j.png
gettip_mina001,external\ps3\ep7\tips\gettip_mina001.png
gettip_mina001_j,external\ps3\ep7\tips\gettip_mina001_j.png
gettip_mina002,external\ps3\ep7\tips\gettip_mina002.png
gettip_mina002_j,external\ps3\ep7\tips\gettip_mina002_j.png
gettip_mina005,external\ps3\ep7\tips\gettip_mina005.png
gettip_mina005_j,external\ps3\ep7\tips\gettip_mina005_j.png
gettip_mina008,external\ps3\ep7\tips\gettip_mina008.png
gettip_mina008_j,external\ps3\ep7\tips\gettip_mina008_j.png
gettip_mina010,external\ps3\ep7\tips\gettip_mina010.png
gettip_mina010_j,external\ps3\ep7\tips\gettip_mina010_j.png
gettip_mina012,external\ps3\ep7\tips\gettip_mina012.png
gettip_mina012_j,external\ps3\ep7\tips\gettip_mina012_j.png
gettip_mina014,external\ps3\ep7\tips\gettip_mina014.png
gettip_mina014_j,external\ps3\ep7\tips\gettip_mina014_j.png
gettip_mina016,external\ps3\ep7\tips\gettip_mina016.png
gettip_mina016_j,external\ps3\ep7\tips\gettip_mina016_j.png
gettip_mina020,external\ps3\ep7\tips\gettip_mina020.png
gettip_mina020_j,external\ps3\ep7\tips\gettip_mina020_j.png
gettip_mina024,external\ps3\ep7\tips\gettip_mina024.png
gettip_mina024_j,external\ps3\ep7\tips\gettip_mina024_j.png
gettip_minaep,external\ps3\ep7\tips\gettip_minaep.png
gettip_minaep_j,external\ps3\ep7\tips\gettip_minaep_j.png
gettip_tsum001,external\ps3\ep6\tips\gettip_tsum001.png
gettip_tsum001_j,external\ps3\ep6\tips\gettip_tsum001_j.png
gettip_tsum003,external\ps3\ep6\tips\gettip_tsum003.png
gettip_tsum003_j,external\ps3\ep6\tips\gettip_tsum003_j.png
gettip_tsum005,external\ps3\ep6\tips\gettip_tsum005.png
gettip_tsum005_j,external\ps3\ep6\tips\gettip_tsum005_j.png
gettip_tsum007,external\ps3\ep6\tips\gettip_tsum007.png
gettip_tsum007_j,external\ps3\ep6\tips\gettip_tsum007_j.png
gettip_tsum009,external\ps3\ep6\tips\gettip_tsum009.png
gettip_tsum009_j,external\ps3\ep6\tips\gettip_tsum009_j.png
gettip_tsum011,external\ps3\ep6\tips\gettip_tsum011.png
gettip_tsum011_j,external\ps3\ep6\tips\gettip_tsum011_j.png
gettip_tsum013,external\ps3\ep6\tips\gettip_tsum013.png
gettip_tsum013_j,external\ps3\ep6\tips\gettip_tsum013_j.png
gettip_tsum015,external\ps3\ep6\tips\gettip_tsum015.png
gettip_tsum015_j,external\ps3\ep6\tips\gettip_tsum015_j.png
gettip_tsum017,external\ps3\ep6\tips\gettip_tsum017.png
gettip_tsum017_j,external\ps3\ep6\tips\gettip_tsum017_j.png
gettip_tsum019,external\ps3\ep6\tips\gettip_tsum019.png
gettip_tsum019_j,external\ps3\ep6\tips\gettip_tsum019_j.png
gettip_tsum021,external\ps3\ep6\tips\gettip_tsum021.png
gettip_tsum021_j,external\ps3\ep6\tips\gettip_tsum021_j.png
gettip_tsum023,external\ps3\ep6\tips\gettip_tsum023.png
gettip_tsum023_j,external\ps3\ep6\tips\gettip_tsum023_j.png
gettip_tsum026,external\ps3\ep6\tips\gettip_tsum026.png
gettip_tsum026_j,external\ps3\ep6\tips\gettip_tsum026_j.png
gk1,external\ps3\ep1\background\gk1.png
gk1_01,external\ps3\ep2\background\gk1_01.png
gk3,external\ps3\ep1\background\gk3.png
gr1,external\ps3\ep1\background\gr1.png
gr1_01,external\ps3\ep6\background\gr1_01.png
gr2,external\ps3\ep1\background\gr2.png
gr2_01,external\ps3\ep3\background\gr2_01.png
gr2_03,external\ps3\ep6\background\gr2_03.png
gr3,external\ps3\ep1\background\gr3.png
gry2,external\ps3\ep6\background\gry2.png
gy3_01,external\ps3\ep3\background\gy3_01.png
gy7,external\ps3\ep6\background\gy7.png
ha1_au_0,external\ps3\ep7\sprite\ha1_au_0.png
ha1_au_1,external\ps3\ep7\sprite\ha1_au_1.png
ha1_au_2,external\ps3\ep7\sprite\ha1_au_2.png
ha1_def2_0,external\ps3\ep7\sprite\ha1_def2_0.png
ha1_def2_1,external\ps3\ep7\sprite\ha1_def2_1.png
ha1_def2_2,external\ps3\ep7\sprite\ha1_def2_2.png
ha1_def_0,external\ps3\ep7\sprite\ha1_def_0.png
ha1_def_1,external\ps3\ep7\sprite\ha1_def_1.png
ha1_def_2,external\ps3\ep7\sprite\ha1_def_2.png
ha1_muhyou_0,external\ps3\ep8\sprite\ha1_muhyou_0.png
ha1_muhyou_1,external\ps3\ep8\sprite\ha1_muhyou_1.png
ha1_muhyou_2,external\ps3\ep8\sprite\ha1_muhyou_2.png
ha1_odoroki_0,external\ps3\ep7\sprite\ha1_odoroki_0.png
ha1_odoroki_1,external\ps3\ep7\sprite\ha1_odoroki_1.png
ha1_odoroki_2,external\ps3\ep7\sprite\ha1_odoroki_2.png
ha1_sakebi_0,external\ps3\ep8\sprite\ha1_sakebi_0.png
ha1_sakebi_1,external\ps3\ep8\sprite\ha1_sakebi_1.png
ha1_sakebi_2,external\ps3\ep8\sprite\ha1_sakebi_2.png
ha1_shinken_0,external\ps3\ep8\sprite\ha1_shinken_0.png
ha1_shinken_1,external\ps3\ep8\sprite\ha1_shinken_1.png
ha1_shinken_2,external\ps3\ep8\sprite\ha1_shinken_2.png
ha1_warai_0,external\ps3\ep7\sprite\ha1_warai_0.png
ha1_warai_1,external\ps3\ep7\sprite\ha1_warai_1.png
ha1_warai_2,external\ps3\ep7\sprite\ha1_warai_2.png
ha1_yowaki_0,external\ps3\ep7\sprite\ha1_yowaki_0.png
ha1_yowaki_1,external\ps3\ep7\sprite\ha1_yowaki_1.png
ha1_yowaki_2,external\ps3\ep7\sprite\ha1_yowaki_2.png
ha2a_au_0,external\ps3\ep8\sprite\ha2a_au_0.png
ha2a_au_1,external\ps3\ep8\sprite\ha2a_au_1.png
ha2a_au_2,external\ps3\ep8\sprite\ha2a_au_2.png
ha2a_def2_0,external\ps3\ep8\sprite\ha2a_def2_0.png
ha2a_def2_1,external\ps3\ep8\sprite\ha2a_def2_1.png
ha2a_def2_2,external\ps3\ep8\sprite\ha2a_def2_2.png
ha2a_def_0,external\ps3\ep8\sprite\ha2a_def_0.png
ha2a_def_1,external\ps3\ep8\sprite\ha2a_def_1.png
ha2a_def_2,external\ps3\ep8\sprite\ha2a_def_2.png
ha2a_muhyou_0,external\ps3\ep8\sprite\ha2a_muhyou_0.png
ha2a_muhyou_1,external\ps3\ep8\sprite\ha2a_muhyou_1.png
ha2a_muhyou_2,external\ps3\ep8\sprite\ha2a_muhyou_2.png
ha2a_odoroki_0,external\ps3\ep8\sprite\ha2a_odoroki_0.png
ha2a_odoroki_1,external\ps3\ep8\sprite\ha2a_odoroki_1.png
ha2a_odoroki_2,external\ps3\ep8\sprite\ha2a_odoroki_2.png
ha2a_sakebi_0,external\ps3\ep8\sprite\ha2a_sakebi_0.png
ha2a_sakebi_1,external\ps3\ep8\sprite\ha2a_sakebi_1.png
ha2a_sakebi_2,external\ps3\ep8\sprite\ha2a_sakebi_2.png
ha2a_warai_0,external\ps3\ep8\sprite\ha2a_warai_0.png
ha2a_warai_1,external\ps3\ep8\sprite\ha2a_warai_1.png
ha2a_warai_2,external\ps3\ep8\sprite\ha2a_warai_2.png
ha2a_yowaki_0,external\ps3\ep8\sprite\ha2a_yowaki_0.png
ha2a_yowaki_1,external\ps3\ep8\sprite\ha2a_yowaki_1.png
ha2a_yowaki_2,external\ps3\ep8\sprite\ha2a_yowaki_2.png
ha2b_def2_0,external\ps3\ep8\sprite\ha2b_def2_0.png
ha2b_def2_1,external\ps3\ep8\sprite\ha2b_def2_1.png
ha2b_def2_2,external\ps3\ep8\sprite\ha2b_def2_2.png
ha2b_def_0,external\ps3\ep8\sprite\ha2b_def_0.png
ha2b_def_1,external\ps3\ep8\sprite\ha2b_def_1.png
ha2b_def_2,external\ps3\ep8\sprite\ha2b_def_2.png
ha2b_warai_0,external\ps3\ep8\sprite\ha2b_warai_0.png
ha2b_warai_1,external\ps3\ep8\sprite\ha2b_warai_1.png
ha2b_warai_2,external\ps3\ep8\sprite\ha2b_warai_2.png
ha3a_au_0,external\ps3\ep8\sprite\ha3a_au_0.png
ha3a_au_1,external\ps3\ep8\sprite\ha3a_au_1.png
ha3a_au_2,external\ps3\ep8\sprite\ha3a_au_2.png
ha3a_def2_0,external\ps3\ep8\sprite\ha3a_def2_0.png
ha3a_def2_1,external\ps3\ep8\sprite\ha3a_def2_1.png
ha3a_def2_2,external\ps3\ep8\sprite\ha3a_def2_2.png
ha3a_def_0,external\ps3\ep8\sprite\ha3a_def_0.png
ha3a_def_1,external\ps3\ep8\sprite\ha3a_def_1.png
ha3a_def_2,external\ps3\ep8\sprite\ha3a_def_2.png
ha3a_odoroki_0,external\ps3\ep8\sprite\ha3a_odoroki_0.png
ha3a_odoroki_1,external\ps3\ep8\sprite\ha3a_odoroki_1.png
ha3a_odoroki_2,external\ps3\ep8\sprite\ha3a_odoroki_2.png
ha3a_warai_0,external\ps3\ep8\sprite\ha3a_warai_0.png
ha3a_warai_1,external\ps3\ep8\sprite\ha3a_warai_1.png
ha3a_warai_2,external\ps3\ep8\sprite\ha3a_warai_2.png
ha3a_yowaki_0,external\ps3\ep8\sprite\ha3a_yowaki_0.png
ha3a_yowaki_1,external\ps3\ep8\sprite\ha3a_yowaki_1.png
ha3a_yowaki_2,external\ps3\ep8\sprite\ha3a_yowaki_2.png
haikei,external\ps3\ep1\haikei.png
haikei-,external\ps3\ep1\haikei-.png
hasi1,external\ps3\ep1\background\hasi1.png
hasi3,external\ps3\ep1\background\hasi3.png
heri_gunji_01,external\ps3\ep8\background\heri_gunji_01.png
heya1,external\ps3\ep2\background\heya1.png
heya1_04,external\ps3\ep3\background\heya1_04.png
heya1_05,external\ps3\ep3\background\heya1_05.png
heya6,external\ps3\ep8\background\heya6.png
hi1,external\ps3\ep1\background\hi1.png
hi1_01,external\ps3\ep1\background\hi1_01.png
hi3,external\ps3\ep1\background\hi3.png
hi4,external\ps3\ep1\background\hi4.png
hi4_01,external\ps3\ep3\background\hi4_01.png
hi5,external\ps3\ep1\background\hi5.png
hi5_01,external\ps3\ep2\background\hi5_01.png
hi9,external\ps3\ep4\background\hi9.png
hi_scroll,external\ps3\ep3\background\hi_scroll.png
hi_scroll_01,external\ps3\ep3\background\hi_scroll_01.png
hima001,external\ps3\ep4\tips\hima001.png
hima001_j,external\ps3\ep4\tips\hima001_j.png
hima002_02,external\ps3\ep4\tips\hima002_02.png
hima002_02_j,external\ps3\ep4\tips\hima002_02_j.png
hima002_03,external\ps3\ep4\tips\hima002_03.png
hima002_03_j,external\ps3\ep4\tips\hima002_03_j.png
hima003_03,external\ps3\ep4\tips\hima003_03.png
hima003_03_j,external\ps3\ep4\tips\hima003_03_j.png
hima003_05,external\ps3\ep4\tips\hima003_05.png
hima003_05_j,external\ps3\ep4\tips\hima003_05_j.png
hima_aka1,external\ps3\ep4\text\hima_aka1.png
hima_aka1_j,external\ps3\ep4\text\hima_aka1_j.png
hima_aka2,external\ps3\ep4\text\hima_aka2.png
hima_aka2_j,external\ps3\ep4\text\hima_aka2_j.png
hina1_1,external\ps3\ep1\overview\hina1_1.png
hina1_2,external\ps3\ep1\overview\hina1_2.png
hina1_3,external\ps3\ep1\overview\hina1_3.png
hina1_4,external\ps3\ep1\overview\hina1_4.png
hina2_1,external\ps3\ep4\overview\hina2_1.png
